In JSON,Response ID,S4,S5,FS5,FS7,FS10,NU1,NU2,P5,P7,IP2,C5,FN3,O2,O4,
0,R_OIFPGROQKKKFXy1,['NoTechnique'],,['LeadingOrganizationsForceUse'],['NoResponse'],,['NoTechnique'],['NoResponse'],,,,,['NotPressing'],,,
1,R_2BmS1TQTioc9AGV,['PackageManager'],,['NoResponse'],['NoResponse'],,,,"['InternalTools', 'PackageManager']",,,['NoResponse'],,,,
2,R_3KVnzvfW2dIXz1t,['PackageManager'],,,,,"['ToolAssisted', 'PackageManager']",,,,,,,,,
3,R_2Y5Qf0TkbmDkYZF,"['PackageFile', 'README']",,,,,"['PackageFile', 'README', 'IssueTrackers', 'WikiTools']",,,,,,,,,
4,R_vH7zv42GvE1uQQV,,['NoIncentive'],,,,"['ToolAssisted', 'PackageManager']",,,,,,,,,
5,R_WCMDq7mYuO9GEmd,,['NoDependencies'],,,,,,,,,,,,,
6,R_1l65kF3dZ6EjvRP,['PackageManager'],,['NoResponse'],['NoResponse'],,['ToolAssisted'],['BuiltIn'],,,,,"['Time', 'CommunityInterest']",,,
7,R_1rrmdvdJbMbMjpL,['NoTechnique'],,['ImproveOverTime'],['BadAnswer'],,['NoTechnique'],['LessOverhead'],,,,,"['DependedOn', 'NotWorthEffort']",,,
8,R_4NtzXTLGcXmyvtf,['NoDependencies'],,['NoResponse'],['NoResponse'],,,,,,,,,,,
9,R_3rHTLEIdiO8tJwt,['PackageFile'],,,,,"['AdHoc', 'PackageManager']",,,,,,,,,
10,R_ebXY3RIvhqmZxBf,"['PackageFile', 'PackageManager']",,['Requirement'],['IncorrectDependencies'],['MavenPlugins'],,,['PackageManager'],,,['MavenPlugins'],,,,
11,R_1E1gn4jpW8DYZCN,['PackageManager'],,,,,['PackageManager'],,,,,,,,,
12,R_ahFliHRHKOE9L3j,['NoTechnique'],,,,,['PackageManager'],,,,,,,,,
13,R_DqmdF5rv1lhdemJ,['PackageManager'],,['Education'],['NoIssues'],['MavenPlugins'],,,['PackageManager'],['TiedToSoftwareVersion'],,,,,,
14,R_24vJZ4SlgCPtrqV,['NoTechnique'],,['AdditionalInformation'],['NoResponse'],,['PackageManager'],['NoOtherWay'],,,,,['NotRequired'],"['SoftwareVersion', 'DeploymentRequirements', 'RuntimeRequirements']",['NoResponse'],['NoResponse']
15,R_4TKAF9mkGKzXltf,['NoTechnique'],,,,,['BadAnswer'],,,,,,,,,
16,R_3Op6E626ybw8q5o,['README'],,,,,['ToolAssisted'],,,,,,,,,
17,R_2dmDMUTW9P2ISiB,['PackageManager'],,['CryptographicVerification'],['NoIssues'],,['BadAnswer'],['LessOverhead'],,,,,['NotRequired'],,,
18,R_1Hjbzz2khJ4Cwpu,['PackageFile'],,"['UseExistingTools', 'Standardization']",['NotBuiltIntoTools'],,"['PackageFile', 'PackageManager']",['BuiltIn'],,,,,['BadAnswer'],,,
19,R_XRJoz2jwg9leN8d,"['PackageFile', 'PackageManager']",,,,,['PackageManager'],,,,,,,,,
20,R_1jYT2f0uikPEOFO,"['PackageManager', 'PackageFile']",,['Tooling'],['StandardsAreTooStrict'],['BuildOnEveryCommit'],,,,,,['PackageManager'],,,,
21,R_1i87XDsBprVq0hT,"['ToolAssisted', 'ManuallyTracked']",,['BetterMotivation'],"['SbomsUnavailable', 'UsageUnclear']",,"['PackageManager', 'ToolAssisted']",['LessOverhead'],,,,,['NoValue'],,,
