why_art,llama_generated,human_codes,clean_llama_generated,BLEU Score,BERT Score,ROUGE Score
"the richness of pictures/drawings.
- there was almost no text
- it was me who made the art come together",[emphasis on visuals/pictures; minimal text (emotional response); participant's creative agency in gameplay],richness of visuals; own involvement,emphasis on visuals/pictures; minimal text (emotional response); participant's creative agency in gameplay,0.0,{0.5900393724441528},{0.10526315789473682}
"""Art"" to me implies the evocation of deep thoughts and emotions, something that can force you to consider situations you hadn't before and truly empathize with people or characters. Rayne is as human a character as you might find in highly-regarded works of theater, literature, or film; he is torn apart by his conflicting desires, scared and flawed and yet compassionate and understandable. He is an incredibly interesting character and one who elicits sympathy despite his flaws. That, to me, is what makes art: an experience that draws you in and allows you to understand things you would otherwise write off.","[emotional response; ```emotional response```, humanity, sympathy, complexity of characters, empathy]",deep thoughts and emotions; reflection; empathy with the main character,emotional response; emotional response; humanity; sympathy; complexity of characters; empathy,1.0244914152188952e-231,{0.6629778146743774},{0.20000000000000004}
"A group of people took time and effort in making this area of the game, Kaer Morhen (and honestly most of the game too, the experience was simply more profound here), so beautiful. It was akin to looking at a photographer's work and wanting to physically visit where the picture was taken.","[emotional response, aesthetic appeal, desire to visit the game's location, appreciation for the creators' effort]",effort invested in making the game; beauty,emotional response; aesthetic appeal; desire to visit the game's location; appreciation for the creators' effort,1.1008876702055895e-231,{0.5808432102203369},{0.17391304347826086}
All the elements being combined to give me this unique experience.,[unique experience; emotional response],unique combination of elements,unique experience; emotional response,1.2882297539194154e-231,{0.5425184369087219},{0.25}
"All the parts of the game when considered as a whole. When you take in consideration the music, the graphic design, the writing, and of course the gameplay. Its in games like this when you are aware of be playing an artwork, rather than just another game. ","[""emotional response"";]","music, visuals, writing, and gameplay considered as a whole; playing an artwork",emotional response;,0.0,{0.4128798544406891},{0.0}
"An expression of a feeling, emotion, story, etc. ",[emotion; emotional response; story],feeling; emotion; story,emotion; emotional response; story,1.5319719891192393e-231,{0.8948985934257507},{0.5714285714285715}
"Any media that makes the users/viewer think, challenges ones believe is art. Art isn't just pretty pictures but so much more. ","[emotional_response, definition_of_art]",challenging one's beliefs; making one think,emotional_response; definition_of_art,0.0,{0.41582825779914856},{0.0}
Any piece of work can be considered art so long as it inspires thought or emotion. Anything that forces it's consumers to confront and reconcile their own inadequacies with their strive to achieve must be art.,"[emotional response; inspiring thought or emotion, confronting inadequacies; striving to achieve]",inspiring thought or emotion; confronting and reconciling one's inadquacies,emotional response; inspiring thought or emotion; confronting inadequacies; striving to achieve,0.3508439695638686,{0.7267439961433411},{0.47619047619047616}
"Anything can be art. This game was so beautiful and made me feel things, so I considered it to be art.","[emotional response, aesthetic appeal, personal connection]",beauty; emotion,emotional response; aesthetic appeal; personal connection,0.0,{0.7133133411407471},{0.25}
"Art as a concept is huge, I think there is a little bit of art in everything. Aside from being aesthetically pleasing, I think real art challenges you in some way or holds up a mirror to reflect in. Firewatch both challenged me emotionally, and caused some deep introspection about relationships.","[emotional response, introspection, relationships]",emotional challenge; reflection,emotional response; introspection; relationships,1.2882297539194154e-231,{0.7099420428276062},{0.28571428571428575}
