In JSON,Response ID,S1,S3,S5,S6,S8,S10,P4,P8,P9,C3,C7,SM3,SC8,SC9
0,R_3NP6V06n6Ea5N5Z,['DependencyTracker'],,,,,,,,,,,,"['ReadDescription', 'CodeReview']",['PackageManager']
1,R_1P776djwnwYYHqv,"['DependencyTracker', 'Licensing', 'Security', 'Versioning']",,"['Tooling', 'LanguageSupport', 'Inconsistency']",['Tooling'],"['LanguageSpecificTools', 'ReportGenerationTools']",,,,,,"['Inconsistency', 'MissingToolFeatures']",,"['InsecureByDefault', 'CodeReview', 'TestCases']",['PackageManager']
2,R_pSFEcWrIVGPzkcN,"['DependencyTracker', 'Debugging', 'Licensing', 'Documentation']","['Name', 'URL', 'License', 'Linking', 'Identifier', 'Modified']","['Inconsistency', 'Tooling']",['Tooling'],,,,,,,,"['Templates','VersionControlIntegration']","['CodeReview', 'TestCases']",['ManualRecording']
3,R_1JUtR4olDrf7HbR,"['DependencyTracker', 'Security', 'Transparency']",,,,['SbomDatabase'],['Database'],,,,,['UpkeepRequirements'],,['ListedSeverity'],['Scanner']
4,R_3kcX5GVjOS0Bqsc,"['DependencyTracker', 'Licensing', 'Security', 'Compliance', 'Transparency']","['Identifier', 'UseCase']","['Underspecification', 'TooManyStandards', 'Comprehension']","['Standardization', 'Documentation']",['BetterLibraries'],['InRepository'],"['SatisfiedRequirements', 'IncreasedAdoption']","['TiedToSoftwareVersion', 'Identifier']","['EnvironmentSupport', 'Tooling']","['DependencyTracking', 'VulnerabilityDetection']","['Inconsistency', 'DifferentStandards']","['Website', 'GoverningBodies', 'SocialMedia']","['ReadDescription', 'CodeReview']","['PackageManager', 'Scanner']"
5,R_9mlyPsE52APF3RT,"['DependencyTracker', 'Security']",,['YoungTechnology'],"['Standardization', 'Tooling']",['BadAnswer'],,,,,,,,['ToolAssisted'],['CallGraph']
6,R_3Gvw4BEgHtMjou7,"['DependencyTracker', 'Licensing', 'Versioning', 'Documentation', 'Provenance']","['Name', 'Version', 'CreationTime', 'Dependencies', 'Checksum', 'Author', 'Organization', 'License']",,,['SimplerTools'],['InRepository'],"['DependencyManagement', 'Licensing', 'Visibility']",,['SpecificationComprehension'],,,,['NotAddressed'],['SBOM']
7,R_1etaPjf7ww473XA,"['DependencyTracker', 'Licensing', 'Documentation']","['Name', 'Author', 'License', 'Dependencies', 'License', 'CreationTime', 'UseCase']",['Tooling'],"['Tooling', 'SupportRelatedOrganizations']",['SupportRelatedOrganizations'],,,,,,,['GoverningBodies'],"['ReadDescription', 'CodeReview']",['PackageManager']
8,R_1lt6DlQzUc9YCuQ,"['DependencyTracker', 'Licensing', 'Security']","['Name', 'Version', 'Ecosystem', 'Checksum', 'URL']","['MissingFields', 'Tooling']",['Standardization'],['GenerateAccurateSbom'],['NotInRepository'],,['ToolAssisted'],['PoorQualitySboms'],,"['PoorQualitySboms', 'Inconsistency']",,['BadAnswer'],['SBOM']
9,R_1M4HoMp9oXP92Jc,"['DependencyTracker', 'MachineReadable']","['Name', 'Dependencies', 'URL', 'License', 'CreationTime', 'Author', 'Organization', 'Description', 'Version', 'Vulnerabilities']","['DifferenceInExpectations', 'LanguageSupport', 'MissingFields']","['SupportRelatedOrganizations', 'Communication']","['ClarifiedStandards', 'SupportRelatedOrganizations']",,,,,,,['Forum'],['ReadDescription'],"['PackageManager', 'Scanner']"
11,R_3MrNOoshiY0ac9F,"['DependencyTracker', 'Licensing', 'Provenance']","['Organization', 'License', 'Identifier', 'URL']","['Tooling',  'UseCaseSupport']","['ImproveOverTime', 'SupportRelatedOrganizations']",['NoDeficiencies'],['InBinary'],['LocateSecurityIssues'],['Identifier'],['LegalRequirements'],,['PoorQualitySboms'],['FreelyAvailable'],"['BinaryAnalysis', 'Versioning']",['Scanner']
12,R_1CqN5FujZLDvcKR,"['DependencyTracker', 'Licensing', 'Security', 'Versioning', 'MachineReadable', 'Provenance']","['Name', 'License', 'Version', 'Organization']","['Overspecification', 'Inconsistency', 'TooManyStandards', 'UnavailableInformation']",['Standardization'],['Communication'],['DeliveredWithArtifact'],"['LocateSecurityIssues','DependencyManagement', 'Licensing']",['ToolAssisted'],"['EnvironmentSupport', 'Tooling', 'UnavailableInformation']",['DependencyTracking'],['Inconsistency'],['GoverningBodies'],['CodeReview'],['PackageManager']
14,R_1gnCm7rvxLjS2rN,"['DependencyTracker', 'Security', 'Transparency']","['Author', 'CreationTime', 'Version', 'Dependencies', 'Vulnerabilities', 'Mitigations', 'License', 'UseCase', 'PerformaceRequirements']",['MLSupport'],['AddMLFields'],['SimplerTools'],,,,,,,['BadAnswer'],,
15,R_2uq9Acrc4ykecue,"['DependencyTracker', 'Versioning', 'Security']","['Dependencies', 'URL', 'Version', 'CreationTime', 'Vulnerabilities']",,,['HigherSbomQuality'],['InRepository'],,,,"['DependencyTracking', 'ProvidesConsistency']",['MissingToolFeatures'],,['ToolAssisted'],['PackageManager']
16,R_1OW6El7D3OdhNRf,['DependencyTracker'],"['Name', 'License', 'Version', 'Checksum', 'Organization', 'CreationTime', 'Vulnerabilities', 'Identifier']",,,['BadAnswer'],,['LocateSecurityIssues'],['BadAnswer'],"['SpecificationComprehension', 'Underspecification']",,['Comprehension'],,['BadAnswer'],['PackageManager']
17,R_2X02uH9Mm87FxHp,"['DependencyTracker', 'Security', 'Licensing']",['BadAnswer'],['SbomDistribution'],['SupportRelatedOrganizations'],['SupportRelatedOrganizations'],['VendorDiscretion'],,['Database'],['Tooling'],,['Inconsistency'],['BadAnswer'],['ReadDescription'],['PackageManager']
18,R_bHpYNSKRMzkT17z,"['DependencyTracker', 'Licensing']",['MinimumElements'],['CheckingSbomQuality'],['Standardization'],"['LanguageAgnosticTools', 'ShowUnknowns']",,,,,,"['DifferentStandards', 'PoorQualitySboms']","['FreelyAvailable', 'ToolSupport']",,
24,R_2tgjPTTsOMyIVO4,"['DependencyTracker', 'Security', 'Provenance']","['Name', 'License', 'Identifier', 'Version', 'URL', 'Vulnerabilities']","['Tooling', 'AmbiguousGuidance', 'ManagementCost', 'YoungTechnology']",['Communication'],,,,,,,,['BadAnswer'],,
27,R_1dvn1oXd2P5Cn5j,['DependencyTracker'],['AIRelated'],,,['SupportForAIApplications'],,,,['UnavailableInformation'],,['PoorQualitySboms'],,"['CodeReview', 'ToolAssisted']",['ProprietaryTool']
38,R_1diviwEB1kpQfiN,"['DependencyTracker', 'Licensing', 'Security']",['URL'],"['Underspecification', 'Overspecification', 'Comprehension']",['Standardization'],['BadAnswer'],['BadAnswer'],"['DependencyManagement', 'Licensing']",['TiedToSoftwareVersion'],"['SpecificationComprehension', 'ImplementationDifficulty', 'InteroperabilityIssues']",,['PoorQualitySboms'],,"['ReadDescription', 'ToolAssisted']","['Scanner', 'CallGraph']"
41,R_2s5ZlVioDWKw8nl,['BadAnswer'],,['NoDeficiencies'],['SupportRelatedOrganizations'],['BadAnswer'],,,,,,,,,
49,R_3HviW61b1bwSd9l,"['DependencyTracker', 'Versioning', 'Security', 'Provenance']","['Identifier', 'Checksum']",,,,['OnWebsite'],['Efficiency'],['BadAnswer'],['BadAnswer'],,,,,
84,R_1OB0LxI7A9lN4v1,"['DependencyTracker', 'Provenance', 'Security', 'Versioning']","['Name', 'Version', 'Author']",,,['ClarifiedStandards'],,,['BadAnswer'],['FastReleases'],['VulnerabilityDetection'],['DynamicVulnerabilityData'],,['ToolAssisted'],['OwnTool']
89,R_1DpptG7RIqiyn7A,"['DependencyTracker', 'Licensing']",,,,['Communication'],,,,,,['Verifiability'],,['ToolAssisted'],['BadAnswer']
119,R_see02VMCNuhmSQN,"['DependencyTracker', 'Security']",,,,['DynamicSboms'],['NoPreference'],,,,['DependencyTracking'],['BadAnswer'],,['ToolAssisted'],['SBOM']
123,R_2dLMPLyI3CfVNMD,['DependencyTracker'],,"['Tooling', 'Inconsistency']","['Communication','Standardization', 'SupportRelatedOrganizations']",,,,,,,,['BadAnswer'],,
204,R_XMyDUO6vfwhb8CR,"['DependencyTracker', 'Licensing', 'Security']","['Name', 'Identifier', 'Version', 'CreationTime', 'Author', 'Organization', 'Dependencies']",,,"['HigherSbomQuality', 'SimplerTools']",,"['LocateSecurityIssues', 'BetterCodeReview']",['ToolAssisted'],"['PoorQualitySboms', 'SecurityRisks']","['DependencyTracking', 'VulnerabilityDetection']",['Verifiability'],,['DependencyManagement'],['Database']
219,R_1pXOYrzicaKEh9a,"['DependencyTracker', 'Language']",['Identifier'],['Tooling'],['Tooling'],['GenerateAccurateSbom'],,['LocateSecurityIssues'],"['ToolAssisted', 'ContinuousIntegration']",['PoorQualitySboms'],,"['Inconsistency', 'ToolBugs']",['GoverningBodies'],['ReadDescription'],['SBOM']
222,R_9t3tC0i9hMcu7wl,"['DependencyTracker', 'MachineReadable']","['Vulnerabilities', 'License', 'URL', 'Dependencies', 'Version', 'Identifier']",,,['LetFieldMature'],,,,['SbomGenerationSlow'],,,,['ToolAssisted'],['NotAddressed']
226,R_2qjW7wCBbBFUunR,"['Compliance', 'Licensing', 'DependencyTracker']",,,,,,,,,,,,"['CodeReview', 'ToolAssisted']",['PackageManager']
229,R_11db8BgtVC2jgQK,['DependencyTracker'],"['Name', 'Identifier', 'Version']",['BadAnswer'],['BadAnswer'],['BadAnswer'],['NotRecalculable'],"['Licensing', 'DependencyManagement', 'LocateSecurityIssues']",,['NotBackwardCompatible'],,,,['BadAnswer'],['PackageManager']
230,R_2ceH0MWA48ZbGWV,"['DependencyTracker', 'Versioning', 'Security']","['Vulnerabilities', 'URL', 'Ecosystem', 'Version', 'License', 'Support', 'UpdateFrequency']",,,,,,,['UnavailableInformation'],,,,"['ReadDescription', 'ToolAssisted']",['PackageManager']
232,R_2zcJ4lHWpUWKJ2n,"['Provenance', 'Licensing', 'Versioning', 'DependencyTracker', 'Transparency', 'Accountability']","['Name', 'URL', 'CreationTime', 'Ecosystem', 'Version', 'License', 'Dependencies', 'Organization', 'Author']",,,"['HigherSbomQuality', 'SimplerTools', 'ChangeTracking', 'IntegrateSecurityTools', 'ReportGenerationTools', 'Automation']",,,,,,,,"['ReadDescription', 'ToolAssisted', 'Versioning']",['SBOM']
233,R_3LXdpHRFEVQIe4u,['DependencyTracker'],,,,['MoreLanguageSupport'],,,,,,['Verifiability'],,['Ad-hoc'],['Ad-hoc']
235,R_2yl8CXmByyorHTE,['DependencyTracker'],['Version'],['KeepingUpdated'],['Tooling'],['BadAnswer'],,,"['ToolAssisted', 'ContinuousIntegration']",['UnavailableInformation'],,['PoorQualitySboms'],['BadAnswer'],['ToolAssisted'],['PackageManager']
